BILL_1,BILL_2,BILL_3,BILL_4,BILL_5,BILL_6,AGE,SEX,EDUCATION,MARRIAGE,RISK
23165,24515,25592,24949,26846,26908,27,Female,University,Single,HIGH
153390,158421,152835,152638,142454,128895,48,Female,High School,Married,HIGH
196172,196262,157388,123706,115813,112143,29,Female,Graduate School,Single,HIGH
45390,46210,46549,20084,20264,19064,45,Female,University,Married,HIGH
9269,10400,0,0,0,0,53,Female,University,Married,LOW
36676,38247,39856,28698,29299,30120,30,Female,High School,Single,HIGH
50738,49236,48608,48423,49023,49681,43,Female,University,Married,HIGH
32006,60079,26882,27570,28075,29065,46,Female,University,Single,HIGH
20461,19833,20502,19461,19244,20130,43,Female,High School,Married,HIGH
127901,95981,65979,36614,208821,209508,31,Female,Graduate School,Single,HIGH
7134,7872,9528,9725,9427,10118,24,Female,University,Single,HIGH
190704,194111,144855,149146,198027,202293,37,Male,Graduate School,Married,HIGH
33057,33698,36652,38421,37459,54778,28,Female,University,Single,HIGH
631,2790,1758,416,416,3640,42,Female,University,Married,HIGH
-433,-433,-433,8567,17363,0,40,Female,Graduate School,Single,HIGH
42284,31512,26097,27148,54991,28480,23,Male,University,Single,HIGH
44089,29251,30454,33100,34727,36823,26,Male,High School,Single,HIGH
52564,53681,56893,59021,117568,72869,41,Female,University,Married,HIGH
2400,2400,2400,2400,1800,1200,23,Male,University,Single,LOW
325,537,4233,857,325,325,35,Male,Graduate School,Single,HIGH
18034,16604,16635,15413,14296,9090,52,Male,High School,Single,HIGH
78233,53236,35222,72861,74429,60783,37,Female,University,Married,HIGH
105192,90337,74510,73876,76180,78400,39,Female,University,Married,HIGH
187698,190103,195498,0,0,0,32,Male,Graduate School,Married,LOW
767,9637,8256,14890,13742,7630,41,Female,Graduate School,Married,LOW
330759,337794,274075,252584,216547,179221,35,Female,Graduate School,Single,HIGH
0,0,0,0,0,0,29,Female,High School,Married,LOW
128272,131718,135075,134705,143883,145643,46,Female,University,Single,HIGH
242971,244628,243223,245031,247911,247353,35,Female,University,Married,HIGH
28916,29451,27779,28340,0,0,51,Male,University,Married,LOW
1088,1521,6042,1085,947,495,25,Female,Graduate School,Single,HIGH
0,323,0,2520,1651,0,32,Female,University,Married,HIGH
29864,29104,31379,27969,9513,1346,32,Female,Graduate School,Single,LOW
-200,2716,200,0,12140,42424,46,Female,Graduate School,Married,HIGH
53843,55933,56575,57303,58593,59738,33,Female,University,Married,HIGH
38027,23036,129433,117500,113149,102593,34,Female,University,Married,HIGH
852,1738,186673,5517,2660,1480,41,Female,University,Married,HIGH
9918,15918,103169,95669,88080,80576,29,Male,Graduate School,Single,HIGH
11545,12945,13972,15730,15183,16182,50,Female,High School,Single,LOW
0,0,0,0,0,0,35,Male,Graduate School,Married,LOW
73032,12928,88930,30000,67861,18929,42,Female,University,Single,HIGH
12855,16012,16453,15891,16224,16710,49,Male,University,Married,HIGH
799,0,0,0,0,0,40,Female,Graduate School,Single,HIGH
120619,118983,109786,104000,121427,116652,31,Male,University,Single,HIGH
0,0,0,0,-5,-5,32,Male,Graduate School,Married,LOW
19242,15014,13484,7612,8612,5007,23,Female,University,Single,HIGH
5412,5177,6291,9085,9270,6821,25,Female,University,Single,LOW
17040,16474,17203,18411,18929,19171,26,Female,Graduate School,Single,HIGH
16919,17854,18265,20455,19986,21747,26,Female,University,Married,HIGH
72546,74618,62379,37137,-669,14069,30,Female,Graduate School,Single,HIGH
10704,11352,13297,12418,12581,12305,35,Female,High School,Single,HIGH
40286,38008,9497,9124,7128,2745,34,Male,Graduate School,Single,HIGH
-946,-946,-946,-946,-946,-946,36,Female,University,Married,LOW
6806,2774,0,500,399,0,33,Female,University,Single,HIGH
19492,20054,14016,14782,15249,15595,30,Female,Graduate School,Single,HIGH
50562,50906,48888,47037,12187,9962,42,Female,High School,Married,HIGH
73618,76990,78181,82645,84739,83282,32,Female,Graduate School,Single,LOW
15179,4981,19194,4389,1717,4066,32,Male,Graduate School,Single,HIGH
1507,0,218,4360,0,0,31,Female,University,Single,HIGH
26915,26184,29261,28444,28878,27655,41,Male,High School,Married,HIGH
33786,34730,35878,36392,36990,37751,29,Male,Graduate School,Single,LOW
329096,259604,231178,201471,181740,140088,28,Female,University,Single,HIGH
293303,338272,177483,182381,194678,215024,33,Female,University,Single,HIGH
17087,1617,8140,7258,20171,5483,35,Female,University,Married,HIGH
1978,1415,1748,832,416,1851,42,Male,High School,Single,HIGH
16004,15450,16892,17396,14017,0,27,Female,High School,Married,LOW
165090,106448,103618,79687,76742,77096,33,Female,Graduate School,Others,HIGH
10119,10188,9089,9271,9618,8516,31,Male,High School,Single,HIGH
3902,4686,5459,6214,7104,8973,27,Female,University,Single,LOW
32430,34169,36495,36910,37838,38457,31,Female,University,Single,HIGH
27186,27759,21103,22217,23440,61084,28,Female,University,Single,HIGH
77208,75377,77044,78333,78130,77761,41,Female,High School,Married,HIGH
94218,95129,172957,85332,87103,71237,42,Female,University,Married,HIGH
79967,75920,73968,71919,59894,59405,49,Female,High School,Married,HIGH
929,1729,0,0,0,0,50,Male,University,Married,HIGH
2746,1666,3572,76552,100566,0,35,Male,Graduate School,Single,HIGH
19608,20696,20071,21432,21704,21205,44,Female,High School,Married,LOW
942,942,9849,3870,6630,1170,46,Female,High School,Single,HIGH
60528,49036,31226,15568,10000,0,31,Male,University,Married,HIGH
36075,39442,41240,42380,380,96736,33,Female,University,Single,HIGH
326,326,326,326,476,326,30,Male,University,Single,HIGH
19295,19639,18541,19059,19757,19913,43,Female,University,Married,HIGH
50695,53476,46685,35760,33853,35708,29,Male,University,Single,HIGH
49173,50141,96860,48803,19324,19668,25,Female,University,Single,HIGH
131138,133452,136194,137490,106322,104583,34,Female,High School,Married,HIGH
2603,11381,0,1000,0,0,34,Female,Graduate School,Single,HIGH
485921,234046,214092,201210,186455,169455,29,Female,University,Single,HIGH
3328,164327,10690,4772,1294,2147,42,Female,University,Single,HIGH
1837,4791,6697,2700,1218,1533,42,Male,Graduate School,Single,HIGH
0,0,150,3550,0,0,29,Male,Graduate School,Single,HIGH
3048,4063,5081,6090,6211,6342,41,Female,High School,Single,LOW
9340,10533,10221,16808,17738,17174,22,Female,High School,Single,LOW
2521,-1000,12009,5627,215,3039,29,Female,Graduate School,Single,HIGH
19758,8960,9949,10298,10511,9764,30,Female,University,Single,HIGH
50713,49402,44415,0,0,0,34,Male,University,Single,HIGH
24147,25750,27012,27762,32126,37779,34,Female,University,Married,HIGH
65198,65674,58599,49179,49080,49705,40,Female,High School,Married,HIGH
45840,47595,28491,3642,12291,16674,52,Male,University,Single,HIGH
98845,95265,98571,99322,96661,95951,35,Female,University,Married,LOW
14939,14457,2312,1156,1156,1469,32,Male,Graduate School,Single,HIGH
50808,48287,47265,20840,19568,19812,36,Male,University,Married,LOW
26129,30544,21712,23284,24945,25402,28,Male,Graduate School,Single,HIGH
201324,207222,209189,106090,108300,87404,34,Female,Graduate School,Married,HIGH
6709,7895,8751,8925,9111,9360,24,Female,Graduate School,Single,HIGH
2616,57077,5287,68445,13881,16240,32,Female,Graduate School,Single,HIGH
87377,84962,68301,32106,32776,31832,28,Male,Others,Single,HIGH
10522,261,1305,1134,1073,1312,45,Male,High School,Married,LOW
4576,1837,141555,140550,153587,153278,25,Female,Graduate School,Single,HIGH
3060,2337,766,316,4356,316,33,Female,Graduate School,Married,HIGH
0,0,355,2165,2165,0,28,Female,Graduate School,Single,HIGH
36479,38813,40611,42641,45287,44577,38,Female,University,Married,HIGH
31230,31348,28034,26251,24133,22527,40,Female,University,Married,LOW
50710,45641,29259,9442,9792,9684,24,Female,University,Married,LOW
14887,23751,52698,101007,103598,150430,38,Female,High School,Single,HIGH
17582,600,600,9375,8765,3649,54,Female,University,Married,HIGH
48550,46267,46716,29744,30060,29449,51,Male,High School,Married,HIGH
91272,91337,88129,76209,65295,27224,24,Female,University,Married,HIGH
228610,182982,150022,151787,154922,159113,39,Female,University,Single,HIGH
3056,0,4091,0,6592,2728,35,Male,University,Married,HIGH
151630,150824,117130,146443,122439,83535,36,Male,Graduate School,Single,HIGH
260733,228515,232762,208005,194608,201044,34,Male,Graduate School,Single,HIGH
130,1926,15671,18552,24222,32867,46,Male,University,Married,HIGH
118053,197622,25664,9461,6407,15791,25,Female,University,Married,HIGH
0,1000,0,0,0,0,22,Female,University,Single,LOW
0,0,0,0,0,0,36,Female,University,Single,LOW
4040,5438,3116,13459,2685,2532,49,Male,University,Married,HIGH
0,2583,3001,21306,5051,2450,52,Female,High School,Married,LOW
127487,120586,118785,117406,106323,102179,26,Female,University,Single,HIGH
2112,728,100,100,499,499,32,Male,Graduate School,Single,HIGH
-1020,25607,23922,24399,24919,26884,27,Female,University,Single,HIGH
45740,44727,45738,48977,52191,53242,40,Male,Graduate School,Single,LOW
92472,92518,91504,91706,91801,91753,26,Female,University,Single,HIGH
42585,43304,45622,47232,47583,53032,27,Male,Graduate School,Single,HIGH
45268,47140,47411,48443,49478,43264,27,Female,Others,Single,HIGH
46337,47384,48382,49392,50608,50722,34,Female,University,Married,HIGH
110031,105500,104430,93,158481,161866,25,Female,University,Single,HIGH
6000,0,2880,0,0,0,39,Female,Graduate School,Single,HIGH
9370,9078,10267,10350,10564,10771,29,Female,Graduate School,Single,LOW
0,0,0,2146,2452,6990,49,Female,University,Married,LOW
419352,428101,436809,443840,452841,468305,42,Male,Graduate School,Single,LOW
750,0,0,0,0,2040,38,Female,Graduate School,Married,LOW
42627,39610,26538,20818,19759,17907,43,Female,Graduate School,Single,HIGH
0,0,0,0,0,0,35,Male,University,Single,HIGH
1310,37073,7700,42038,42610,42096,42,Female,Graduate School,Single,HIGH
19824,5000,19037,12344,26344,1011,31,Male,Graduate School,Single,HIGH
17019,7412,45137,41168,5890,7000,31,Female,University,Married,HIGH
24987,24300,26591,25865,27667,28264,29,Male,Graduate School,Single,LOW
29662,5384,4488,2630,150,335,48,Male,Graduate School,Married,HIGH
48114,42573,55350,92141,57961,45282,32,Female,Graduate School,Single,HIGH
19350,20703,10403,10927,11598,13235,41,Male,University,Married,HIGH
8985,5305,2992,2984,2992,2992,50,Female,University,Single,HIGH
46899,45809,44572,43211,41394,37958,27,Male,Graduate School,Single,HIGH
31426,23712,18919,24227,25229,12150,38,Female,University,Single,HIGH
-58,32991,36465,44310,62408,61420,27,Female,University,Single,HIGH
0,0,0,0,0,0,44,Female,High School,Single,HIGH
176380,188744,194534,199524,203514,208396,27,Male,Graduate School,Single,HIGH
77461,68781,58436,9536,8302,64460,48,Female,University,Single,HIGH
28871,28430,29051,29265,28267,28925,21,Female,University,Single,HIGH
2706,161,250,2561,-295,-295,30,Female,University,Married,HIGH
124501,126822,129440,128571,128631,129813,27,Female,Graduate School,Single,HIGH
711,711,5514,1989,711,8503,28,Female,University,Married,HIGH
11529,6745,6177,7215,7644,8367,33,Female,Graduate School,Single,HIGH
1049,2058,2164,3975,3720,5668,28,Female,University,Single,HIGH
100224,101236,101125,96765,99823,96165,39,Female,University,Single,HIGH
994,10168,-4,5515,3673,6106,32,Male,Graduate School,Single,HIGH
9474,0,0,0,0,0,34,Female,Others,Married,HIGH
148364,150565,150254,64644,40150,41250,46,Male,Graduate School,Married,LOW
21293,70962,9217,1845,41194,40325,43,Female,University,Married,HIGH
72364,64105,45867,29713,30270,27912,23,Female,University,Married,HIGH
145096,147384,143225,147115,145015,110635,28,Female,Graduate School,Single,LOW
36098,21848,23309,13002,14473,11496,38,Male,Graduate School,Single,HIGH
43839,45502,46967,48872,51049,81018,27,Female,University,Single,HIGH
11967,5252,-340,-780,-780,780,23,Female,Graduate School,Single,HIGH
44883,47349,47475,46730,27204,9662,26,Female,University,Single,HIGH
49076,48923,49158,19270,18776,19167,24,Male,University,Single,HIGH
51652,29550,33040,30757,35559,38981,37,Female,University,Single,HIGH
157,-1049,-2681,1975,2244,3294,39,Female,High School,Married,HIGH
2300,1000,11289,4887,3083,9401,40,Male,University,Married,HIGH
38736,28402,28813,29550,29106,29718,44,Male,University,Married,HIGH
142024,144790,146552,142714,152219,149618,34,Female,University,Married,LOW
2500,0,0,0,0,0,56,Female,University,Married,LOW
2968,3980,5075,5979,6796,6463,24,Female,University,Single,LOW
49946,48808,45469,20228,18900,19066,24,Male,Graduate School,Single,HIGH
15736,16762,17774,18125,18507,19063,34,Male,High School,Married,HIGH
100699,88694,74647,49021,34594,23116,38,Female,High School,Married,HIGH
162865,167086,169217,18056,18179,18563,27,Female,University,Single,HIGH
316,734,418,424,424,424,35,Female,Graduate School,Married,HIGH
935,1418,-2,120,150,928,47,Female,Graduate School,Married,LOW
38746,0,0,110699,0,0,31,Female,University,Single,LOW
8755,8158,7540,8164,6963,5923,37,Male,University,Single,HIGH
-347,-347,-347,-347,-347,13694,33,Female,Graduate School,Single,HIGH
13538,9199,6879,6753,5440,5440,33,Male,University,Married,HIGH
53494,52656,52600,52336,55831,56265,28,Female,Graduate School,Single,HIGH
390,390,390,390,390,390,46,Female,University,Married,HIGH
780,780,390,780,390,1735,48,Female,University,Married,HIGH
-4300,-4300,-4620,-4620,-5820,-5820,52,Male,High School,Married,HIGH
2900,17646,0,15620,5200,1355,51,Male,University,Single,HIGH
136,0,0,0,0,0,23,Female,University,Single,HIGH
1560,316,316,316,316,316,45,Female,Graduate School,Married,LOW
10141,11472,12973,12468,13763,13989,51,Female,University,Married,HIGH
97271,88596,89218,63243,42510,41221,25,Female,Graduate School,Single,LOW
92638,90905,95768,97004,99005,101213,40,Female,University,Married,HIGH
65600,63396,64150,66135,70118,67254,30,Male,Graduate School,Married,HIGH
282,61573,32122,31423,2914,1470,48,Male,Graduate School,Married,HIGH
305814,315479,328208,320056,326599,337552,46,Female,University,Single,HIGH
177027,173635,172514,157768,126964,125456,42,Male,High School,Married,HIGH
3272,6968,0,0,0,0,36,Female,Graduate School,Single,HIGH
156400,157923,158746,153208,154163,155344,44,Male,Graduate School,Married,HIGH
21501,21415,21529,19542,18547,17519,28,Female,Others,Married,HIGH
26644,27352,28121,33331,38459,42525,42,Male,University,Married,HIGH
27200,10605,10355,9853,2917,1473,44,Female,University,Single,HIGH
109943,222085,223350,213831,210563,211925,35,Female,University,Single,LOW
18618,18040,17471,16893,21318,20412,61,Male,University,Married,LOW
13963,15227,17968,17382,18094,19399,47,Female,Graduate School,Married,LOW
146518,142954,134372,84558,86538,88299,38,Female,University,Married,HIGH
18660,27871,55277,38259,8266,13200,30,Female,Graduate School,Married,HIGH
48690,49347,16002,6120,3910,299,25,Female,University,Single,HIGH
89302,90745,96314,87862,79936,76971,27,Female,University,Single,HIGH
2359,1519,1939,1939,1939,1520,37,Male,High School,Married,HIGH
153364,149482,160000,155932,166414,169625,36,Male,Graduate School,Single,LOW
185147,132646,137109,135264,133046,126155,42,Female,University,Married,LOW
0,0,0,0,0,0,37,Female,University,Single,HIGH
39291,29122,26639,22828,21293,17544,31,Male,University,Married,HIGH
296,148,620,296,148,0,34,Female,University,Married,HIGH
4734,0,0,0,0,0,27,Female,Graduate School,Single,LOW
549,0,0,0,1893,0,35,Female,University,Married,HIGH
3786,2894,1200,2735,3231,909,36,Female,University,Married,HIGH
0,342,1342,1372,2037,1068,23,Female,Graduate School,Single,HIGH
155768,156041,157356,123271,123831,124070,30,Female,University,Single,HIGH
775,1550,775,775,925,775,38,Male,High School,Married,LOW
38333,40401,42897,44388,46528,44986,23,Female,University,Single,HIGH
0,3132,3144,3638,3436,22219,28,Male,Graduate School,Single,LOW
0,0,0,619,39224,34881,28,Female,Graduate School,Single,HIGH
70479,71900,0,0,0,0,43,Male,University,Single,HIGH
16977,19612,5613,5613,10113,10113,25,Female,High School,Single,HIGH
144430,50001,62622,166818,78909,40268,52,Female,Graduate School,Married,HIGH
326,326,326,326,326,326,31,Male,University,Single,HIGH
0,0,0,0,0,0,38,Male,Graduate School,Single,HIGH
136785,137175,140773,133147,140350,136475,40,Male,Graduate School,Married,LOW
899,2879,8750,9931,0,7760,40,Female,University,Married,HIGH
12876,4420,4508,8064,4520,4476,30,Female,Graduate School,Single,HIGH
14445,15404,19885,22355,22902,15373,30,Female,University,Single,HIGH
57536,60912,56728,55758,57911,54152,35,Female,Graduate School,Single,HIGH
366577,345484,354469,187836,186172,189759,47,Female,Graduate School,Single,HIGH
411,209,217,613,2339,1474,40,Female,University,Married,HIGH
23396,19454,17195,15691,14466,13908,35,Male,Graduate School,Married,HIGH
7569,8598,9590,9782,9986,9173,58,Female,High School,Married,HIGH
0,0,0,1054,1230,1054,42,Female,University,Married,HIGH
18506,12237,913,5356,58545,7357,28,Female,Graduate School,Single,HIGH
29717,28569,29168,30566,29229,26260,41,Female,High School,Married,HIGH
99,0,0,0,0,0,29,Female,University,Single,HIGH
3140,2740,107139,105188,104418,106990,33,Female,Others,Married,HIGH
39259,41054,25590,5817,13623,-2202,30,Female,University,Married,HIGH
32632,34099,35525,38820,38066,39681,31,Female,Graduate School,Single,LOW
220,2500,0,0,0,0,34,Male,Graduate School,Married,HIGH
24257,8723,6282,2440,0,0,28,Female,University,Married,HIGH
21912,22939,23647,24118,24729,25267,38,Male,Graduate School,Married,HIGH
204441,198879,202466,168015,169799,171981,35,Male,Graduate School,Married,HIGH
192461,195970,122214,124647,126921,129167,58,Male,Graduate School,Married,HIGH
2343,3943,1443,1443,1443,1443,52,Male,Graduate School,Married,HIGH
390,780,390,780,780,0,24,Male,University,Single,LOW
233756,216591,197022,198088,187000,179703,47,Male,University,Married,LOW
23018,24044,25059,25559,26094,26612,25,Male,University,Single,HIGH
8136,3590,2936,476,476,476,46,Female,University,Married,HIGH
13273,12709,5480,5397,70137,11819,39,Male,Graduate School,Single,HIGH
75296,76672,78343,79111,79993,81279,27,Female,Graduate School,Single,HIGH
4843,8790,12420,14731,21508,7695,33,Male,University,Married,HIGH
3310,2250,1698,-51,-51,-51,31,Male,Graduate School,Married,HIGH
15526,14923,10936,11436,1520,0,40,Male,University,Married,HIGH
44320,45884,47104,48205,17555,7809,22,Female,University,Single,HIGH
58784,55209,56626,56387,15980,1134,28,Female,University,Married,HIGH
5719,15578,19887,11659,11735,8541,23,Female,High School,Single,HIGH
0,0,0,0,0,35833,33,Female,University,Single,HIGH
22212,21568,24209,23524,24491,25033,38,Female,University,Married,HIGH
43791,42809,45085,48020,47120,50319,43,Female,University,Married,HIGH
23498,26400,25682,26155,27972,27374,54,Female,High School,Married,LOW
1812,390,388,1187,263,1913,22,Female,University,Single,HIGH
67857,69711,64947,26022,28575,21460,28,Male,Graduate School,Single,HIGH
15602,16482,16743,17185,18281,17312,32,Female,University,Single,LOW
218435,205981,187258,189435,145032,147370,41,Male,High School,Single,HIGH
197019,182336,182617,166031,148157,142034,27,Female,University,Single,HIGH
204205,210183,212877,189161,180715,171449,33,Female,Graduate School,Married,HIGH
17697,18445,19382,18440,18826,17311,24,Male,University,Single,HIGH
51632,9803,3427,924,-876,-969,29,Male,High School,Married,HIGH
28306,20367,19509,42394,46739,55573,33,Male,Graduate School,Single,HIGH
78201,80895,82692,86305,88961,92513,29,Female,University,Married,HIGH
155285,156122,11733,9620,0,4520,30,Female,University,Married,HIGH
0,0,0,0,710,7611,31,Female,Graduate School,Single,HIGH
7363,5180,31902,11044,0,0,33,Female,Graduate School,Single,HIGH
1313,1414,1258,2565,-5,1100,46,Male,High School,Married,HIGH
51007,50644,50109,49339,49177,48754,32,Female,University,Single,HIGH
8272,10128,11106,11443,10323,11150,25,Female,Graduate School,Single,HIGH
5928,9770,8032,30,240,540,55,Male,Graduate School,Married,HIGH
71770,74066,75907,77723,79550,81801,30,Female,University,Married,LOW
44338,43048,35639,18753,19091,19548,48,Male,University,Married,HIGH
4664,1578,646,3689,560,-150,26,Female,Graduate School,Married,HIGH
3209,0,2552,2236,2236,2450,43,Female,Graduate School,Married,HIGH
173187,96550,82810,78255,77816,81392,39,Male,University,Others,HIGH
451,268,604,664,734,1076,46,Female,Graduate School,Married,LOW
46004,45976,48953,48851,49318,51143,37,Male,High School,Single,LOW
67761,63187,58719,60737,63593,82202,32,Female,Graduate School,Married,HIGH
60283,61227,60385,30368,29667,30159,43,Female,High School,Married,LOW
45982,41372,18059,18020,18028,17744,45,Male,High School,Married,HIGH
1236,1234,4888,4187,8995,9731,26,Male,University,Single,HIGH
92457,95365,98095,100796,102504,104089,33,Male,High School,Single,HIGH
79455,74993,48344,45433,45853,21158,39,Male,Graduate School,Married,HIGH
69926,69474,60975,38546,37843,38632,62,Female,Graduate School,Married,HIGH
989,989,989,989,990,702,40,Female,Graduate School,Married,HIGH
27061,28129,29377,29625,30134,28716,27,Male,High School,Single,HIGH
100,980,28798,29398,15037,0,27,Female,Graduate School,Single,HIGH
58850,59867,47925,23642,21707,20544,24,Female,High School,Single,HIGH
19401,20610,19682,19593,20001,19466,24,Male,University,Single,HIGH
52824,53165,54842,54868,56286,56621,55,Female,High School,Single,HIGH
22206,23846,24554,25213,27638,27042,35,Female,University,Married,HIGH
5630,390,5090,19394,205,0,44,Female,University,Married,LOW
331697,332339,322995,314161,327945,289814,31,Female,Graduate School,Single,HIGH
10350,0,0,0,0,0,35,Female,Others,Married,HIGH
74831,78082,80333,82497,84438,86332,26,Male,University,Single,HIGH
133461,133393,132211,101807,101083,101597,33,Female,University,Married,HIGH
34339,35075,32355,31573,51279,53590,37,Male,Graduate School,Single,HIGH
0,0,0,0,0,0,29,Female,Graduate School,Single,HIGH
2005,2869,16719,8568,797,1158,31,Female,Graduate School,Single,HIGH
162757,143233,130477,99119,101535,89883,29,Male,Graduate School,Married,LOW
1906,4983,12029,13821,1493,2229,41,Female,University,Married,HIGH
112533,109515,48917,46765,40212,39690,29,Male,University,Single,HIGH
18317,17330,11400,11120,10914,11315,32,Female,High School,Married,HIGH
70,-620,-620,-1400,0,0,26,Male,University,Single,HIGH
34200,0,110801,0,18805,0,43,Female,Graduate School,Married,HIGH
0,0,0,0,0,1473,48,Female,University,Married,LOW
5005,9880,10542,10903,10981,9931,44,Male,University,Single,HIGH
255834,258822,254855,258220,256058,256840,28,Female,University,Single,HIGH
5539,337,11277,11277,14277,-47,29,Female,Graduate School,Single,LOW
2400,2400,2400,2400,2400,2400,26,Male,University,Single,LOW
97284,99542,99898,99786,97670,100959,39,Female,Graduate School,Married,LOW
189420,192058,185995,188649,190700,185912,35,Female,University,Married,HIGH
167419,16968,7226,1469,690,388,32,Female,High School,Married,HIGH
68032,63174,44536,80570,8333,8325,48,Male,University,Single,HIGH
8056,5997,5602,6478,5453,2261,26,Female,University,Single,LOW
46791,42675,34256,30723,19766,20449,30,Female,Graduate School,Married,HIGH
68247,68263,22551,16008,0,13180,22,Female,University,Single,HIGH
593,1763,53669,4707,22014,3415,44,Male,Graduate School,Married,HIGH
-2,-2,-2,-2,794,796,34,Female,University,Single,HIGH
43286,47744,46706,48066,49026,49755,52,Male,University,Married,HIGH
27172,27000,780,0,30525,0,26,Male,Graduate School,Single,HIGH
19610,14746,28216,4245,3500,396,28,Female,High School,Single,HIGH
136485,87236,79244,59144,60228,61578,43,Male,University,Single,HIGH
8451,1419,37307,1086,1494,7724,28,Female,Graduate School,Single,HIGH
175000,184057,189643,115046,24895,35410,36,Female,University,Married,HIGH
6540,17288,3009,20311,15643,5696,32,Female,Graduate School,Married,HIGH
34704,36426,35387,36838,35867,36841,31,Male,University,Single,HIGH
